,업종,행정동,도로명 주소,데이터기준일자
미니스톱 관악미래점,편의점,난곡동,서울특별시 관악구 법원단지5가길 54,2022-06-20
픽미픽미아이스 신림점,편의점,서원동,서울특별시 관악구 신림로58길 14,2022-06-20
세븐일레븐 사당역점,편의점,남현동,서울특별시 관악구 남현1길 66,2022-06-20
세븐일레븐 관악남현길점,편의점,남현동,서울특별시 관악구 남현길 58,2022-06-20
이마트24 관악남부점,편의점,신원동,서울특별시 관악구 남부순환로172길 13,2022-06-20
이마트24 관악sk타워점,편의점,은천동,서울특별시 관악구 양녕로 5,2022-06-20
세븐일레븐 남현이즈빌점,편의점,남현동,서울특별시 관악구 남현1길 9,2022-06-20
씨유관악인헌길점,편의점,인헌동,서울특별시 관악구 인헌12길 42,2022-06-20
세븐일레븐 신림패션점,편의점,신림동,서울특별시 관악구 신림로 373,2022-06-20
이마트24서원은혜점,편의점,서림동,서울특별시 관악구 신림로36길 22,2022-06-20
GS25 관악이편한점,편의점,청룡동,서울특별시 관악구 참숯5길 12,2022-06-20
씨유 관악햇살점,편의점,미성동,서울특별시 관악구 법원단지5길 5,2022-06-20
GS25 봉천인헌점,편의점,인헌동,서울특별시 관악구 인헌9길 28,2022-06-20
씨유 신림에코리움점,편의점,신원동,서울특별시 관악구 신원로 35,2022-06-20
세븐일레븐 관악청룡로점,편의점,청룡동,서울특별시 관악구 청룡길 45 ,2022-06-20
씨유신림로점,편의점,삼성동,서울특별시 관악구 신림로 153,2022-06-20
미니스톱봉천역점,편의점,은천동,서울특별시 관악구 남부순환로 1715,2022-06-20
씨유 관악은하점,편의점,신사동,서울특별시 관악구 남부순환로161길 40 ,2022-06-20
GS25뉴신림사랑점,편의점,신림동,서울특별시 관악구 신림동1길 21,2022-06-20
세븐일레븐 관악중학교점,편의점,행운동,서울특별시 관악구 행운6길 22,2022-06-20
씨유관악예랑점,편의점,난곡동,서울특별시 관악구 난곡로24길 55,2022-06-20
GS25신림신일점,편의점,미성동,서울특별시 관악구 난우길 29,2022-06-20
씨유관악푸른점,편의점,인헌동,서울특별시 관악구 낙성대역길 61,2022-06-20
미니스톱봉천남부점,편의점,청룡동,서울특별시 관악구 남부순환로 1716,2022-06-20
GS25신림빌리지점,편의점,신사동,서울특별시 관악구 관천로11길 41,2022-06-20
씨유관악동방점,편의점,대학동,서울특별시 관악구 신림로23길 49,2022-06-20
지에스(GS)인헌중앙점,편의잠,인헌동,서울특별시 관악구 인헌길 100,2022-06-20
GS25신림트라움점,편의점,신림동,서울특별시 관악구 신림로65길 27,2022-06-20
씨유 낙성현대점,편의점,인헌동,서울특별시 관악구 낙성대로 37,2022-06-20
GS25난곡센터점,편의점,난곡동,서울특별시 관악구 난곡로30길 27,2022-06-20
이마트24관악남부점,편의점,신원동,서울특별시 관악구 남부순환로172길 13 ,2022-06-20
GS25관악세봉점,편의점,청룡동,서울특별시 관악구 관악로5길 84,2022-06-20
이마트24 관악법원단지점,편의점,난곡동,서울특별시 관악구 법원단지13길 16,2022-06-20
씨유(CU)신림카페점,편의점,서원동,서울특별시 관악구 신림로 228,2022-06-20
GS25관악스카이점,편의점,서원동,서울특별시 관악구 서원6길 1,2022-06-20
GS25신림대학점,편의점,대학동,서울특별시 관악구 신림로23길 22,2022-06-20
씨유관악센트럴점,편의점,서원동,서울특별시 관악구 서원길 7,2022-06-20
세븐일레븐 관악봉천점,편의점,청룡동,서울특별시 관악구 남부순환로206길 34,2022-06-20
씨유원당시장점,편의점,인헌동,서울특별시 관악구 인헌6길 15,2022-06-20
GS25관악해바라기점,편의점,보라매동,서울특별시 관악구 보라매로6길 33,2022-06-20
이마트24 관악신사점,편의점,신사동,서울특별시 관악구 관천로11길 87,2022-06-20
GS25중앙한가온점,편의점,중앙동,서울특별시 관악구 중앙길 78,2022-06-20
씨유 난곡정복점,편의점,미성동,서울특별시 관악구 난곡로 235,2022-06-20
팝스토어난곡점,편의점,난곡동,서울특별시시 관악구 미성3길 31,2022-06-20
씨유 관악푸르지오점,편의점,청림동,"서울특별시 관악구 청림6길 6,",2022-06-20
GS25 봉천환영점,편의점,성현동,서울특별시 관악구 구암길 98,2022-06-20
GS25 신대방노블,편의점,신사동,서울특별시 관악구 난곡로 332,2022-06-20
GS25 낙성대동점,편의점,인헌동,서울특별시 관악구 남부순환로244길 14,2022-06-20
씨유관악신사점,편의점,신사동,서울특별시 관악구 관천로11길 160,2022-06-20
세븐일레븐 관악국화점,편의점,난곡동,서울특별시 관악구 난곡로31길 30,2022-06-20
씨유관악희망점,편의점,인헌동,서울특별시 관악구 인헌9길 13,2022-06-20
세븐일레븐 관악호암로점,편의점,대학동,서울특별시 관악구 호암로22길 21,2022-06-20
씨유 신림중앙점,편의점,대학동,서울특별시 관악구 대학10길21,2022-06-20
씨유관악프렌즈2호점,편의점,난곡동,서울특별시 관악구 미성3길 50,2022-06-20
세븐일레븐 관악남현로점,편의점,남현동,서울특별시 관악구 남부순환로272길 42,2022-06-20
씨유관악신사로점,편의점,신사동,서울특별시 관악구 신사로 136,2022-06-20
씨유 서울특별시대공존34점,편의점,낙성대동,서울특별시 관악구 관악로 1,2022-06-20
이마트24 관악초등학교점,편의점,청룡동,서울특별시 관악구 쑥고개로11길 29,2022-06-20
씨유관악한울점,편의점,중앙동,서울특별시 관악구 남부순환로 1801,2022-06-20
세븐일레븐 관악평화점,편의점,신사동,서울특별시 관악구 조원로 160-1,2022-06-20
GS25신림정문점,편의점,난향동,서울특별시 관악구 난향길 18,2022-06-20
GS25뉴신림로데오점,편의점,신림동,서울특별시 관악구 봉천로6길 30,2022-06-20
씨유관악선경점,편의점,대학동,서울특별시 관악구 신림로3가길 41,2022-06-20
씨유낙성인헌점,편의점,인헌동,서울특별시 관악구 인헌길 14,2022-06-20
GS25남현으뜸점,편의점,남현동,서울특별시 관악구 승방길 71,2022-06-20
씨유 신림고시촌점,편의점,대학동,서울특별시 관악구 신림로 105,2022-06-20
세븐일레븐 신림녹두점,편의점,대학동,서울특별시 관악구 신림로 97,2022-06-20
세븐일레븐 미성푸르지오점,편의점,미성동,서울특별시 관악구 남부순환로 1430,2022-06-20
씨유관악국회단지점,편의점,은천동,서울특별시 관악구 국회단지길 36,2022-06-20
GS25 샤로수길점,편의점,낙성대동,서울특별시 관악구 남부순환로234길 23,2022-06-20
세븐일레븐 관악대학촌점,편의점,서림동,서울특별시 관악구 서림3길 70,2022-06-20
미니스톱신림주공점,편의점,삼성동,서울특별시 관악구 광신길 210,2022-06-20
이마트24 관악중앙점,편의점,낙성대동,서울특별시 관악구 관악로 8길 32,2022-06-20
GS25관악신림점,편의점,조원동,서울특별시 관악구 시흥대로160길 39,2022-06-20
세븐일레븐 관악보람점,편의점,신사동,서울특별시 관악구 관천로11길8,2022-06-20
GS25관악신림로점,편의점,신림동,서울특별시 관악구 신림로66길 25,2022-06-20
GS25 보라매본점,편의점,보라매동,서울특별시 관악구 봉천로13나길 5,2022-06-20
씨유관악승리점,편의점,신사동,서울특별시 관악구 남부순환로167길 42,2022-06-20
GS25 관악서림점,편의점,서림동,서울특별시 관악구 신림로22길 14,2022-06-20
GS25관악스타힐스점,편의점,청림동,서울특별시 관악구 청림3길 10,2022-06-20
세븐일레븐 관악아름채점,편의점,난곡동,서울특별시 관악구 난곡로26나길 30,2022-06-20
씨유관악장원점,편의점,대학동,서울특별시 관악구 대학길 31,2022-06-20
씨유서울특별시대우신점,편의점,낙성대동,서울특별시 관악구 관악로16길 26,2022-06-20
씨유관악마에스트로점,편의점,청룡동,서울특별시 관악구 남부순환로 1773,2022-06-20
세븐일레븐 신림스타점,편의점,서원동,서울특별시 관악구 신림로 322,2022-06-20
씨유사당남현점,편의점,남현동,서울특별시 관악구 남현3길 62,2022-06-20
GS25관악법원단지점,편의점,난곡동,서울특별시 관악구 법원단지21길 2,2022-06-20
세븐일레븐 관악무지개점,편의점,낙성대동,서울특별시 관악구 관악로10길 36,2022-06-20
씨유 관악리치점,편의점,난곡동,서울특별시 관악구 미성3길 50,2022-06-20
로그인봉천점,편의점,은천동,서울특별시 관악구 양녕로 11,2022-06-20
세븐일레븐 관악난향점,편의점,난향동,서울특별시 관악구 난향길 70,2022-06-20
이마트24 남현로점,편의점,남현동,서울특별시 관악구 남부순환로 272길 42,2022-06-20
GS25 신림법원단지점,편의점,난곡동,서울특별시 관악구 법원단지길 48,2022-06-20
씨유 관악남현점,편의점,남현동,서울특별시 관악구 과천대로945,2022-06-20
세븐일레븐 신림고시촌점,편의점,대학동,서울특별시 관악구 신림로23길 34,2022-06-20
씨유관악샛별점,편의점,조원동,서울특별시 관악구 조원로 87,2022-06-20
GS25 낙성대점,편의점,낙성대동,서울특별시 관악구 관악로12길 105,2022-06-20
이마트24 서림기드온점,편의점,서림동,서울특별시 관악구 서림3길 18,2022-06-20
씨유서울특별시대이편한세상점,편의점,청룡동,서울특별시 관악구 쑥고개로 74,2022-06-20
세븐일레븐 관악센터점,편의점,중앙동,서울특별시 관악구 봉천로49길 15,2022-06-20
세븐일레븐 관악낙성점,편의점,행운동,서울특별시 관악구 남부순환로237길 3,2022-06-20
씨유서울특별시대스위트점,편의점,청룡동,서울특별시 관악구 관악로 157,2022-06-20
씨유서울특별시대서연점,편의점,낙성대동,서울특별시 관악구 관악로 132,2022-06-20
gs25 신림미림점,편의점,삼성동,서울특별시 관악구 호암로 538,2022-06-20
씨유청룡산쉼터점,편의점,청룡동,서울특별시 관악구 청룡11길 24,2022-06-20
GS25 봉천블루밍점,편의점,은천동,서울특별시 관악구 은천로 95,2022-06-20
세븐일레븐 신림지영점,편의점,신사동,서울특별시 관악구 관천로 91,2022-06-20
GS25관악미성점,편의점,미성동,서울특별시 관악구 남부순환로144길 24,2022-06-20
GS25관악KT점,편의점,조원동,서울특별시 관악구 조원중앙로 7,2022-06-20
GS25관악원당점,편의점,행운동,서울특별시 관악구 행운1길 81,2022-06-20
씨유관악남현점,편의점,남현동,서울특별시 관악구 과천대로 945,2022-06-20
씨유관악구청점,편의점,청룡동,서울특별시 관악구 쑥고개로 124,2022-06-20
GS25신림영락점,편의점,서림동,서울특별시 관악구 복은길 128,2022-06-20
씨유 신림테라스점,편의점,대학동,서울특별시 관악구 호암로26길 47,2022-06-20
세븐일레븐 관악소망점,편의점,보라매동,서울특별시 관악구 당곡6길 46,2022-06-20
씨유 관악대로점,편의점,조원동,서울특별시 관악구 남부순환로1403,2022-06-20
세븐일레븐 관악조원점,편의점,조원동,서울특별시 관악구 조원로 92,2022-06-20
씨유관악브라운점,편의점,성현동,서울특별시 관악구 관악로29길 6-14,2022-06-20
이마트24 관악난향점,편의점,난향동,서울특별시 관악구 난곡로 60,2022-06-20
이마트24 관악난곡로점,편의점,미성동,서울특별시 관악구 난곡로 272,2022-06-20
GS25남강학사점,편의점,난곡동,서울특별시 관악구 난곡로 181,2022-06-20
이마트24 조원센터점,편의점,조원동,서울특별시 관악구 조원로12길 17,2022-06-20
세븐일레븐 관악복마을점,편의점,서림동,서울특별시 관악구 서림3길 53,2022-06-20
GS25 봉천래인,편의점,성현동,서울특별시 관악구 은천로35나길 2,2022-06-20
이마트24 관악보라매점,편의점,보라매동,서울특별시 관악구 봉천로 275,2022-06-20
GS25관악승리점,편의점,보라매동,서울특별시 관악구 봉천로 281,2022-06-20
씨유 낙성대역점,편의점,인헌동,서울특별시 관악구 봉천로 604-1,2022-06-20
GS25관악남부점,편의점,신사동,서울특별시 관악구 남부순환로161나길 46,2022-06-20
이마트24 관악미성점,편의점,미성동,서울특별시 관악구 난곡로43길 31,2022-06-20
씨유관악스마일점,편의점,난곡동,서울특별시 관악구 법원단지길 149,2022-06-20
씨유 청룡산쉼터점,편의점,청룡동,서울특별시 관악구 청룡11길 24,2022-06-20
GS25 관악서원점,편의점,서원동,서울특별시 관악구 남부순환로 1626-1,2022-06-20
GS25신림동산점,편의점,신원동,서울특별시 관악구 문성로32길 13,2022-06-20
씨유관악진우점,편의점,신원동,서울특별시 관악구 남부순환로 1536,2022-06-20
씨유관악플러스점,편의점,미성동,서울특별시 관악구 미성길 60,2022-06-20
GS25봉천사랑점,편의점,행운동,서울특별시 관악구 관악로28길 58,2022-06-20
씨유보라매산들점,편의점,신림동,서울특별시 관악구 봉천로 188,2022-06-20
씨유관악성진점,편의점,조원동,서울특별시 관악구 조원중앙로1길 54,2022-06-20
씨유 관악동아타운점,편의점,성현동,서울특별시 관악구 관악로37길 15,2022-06-20
이마트24 관악행운점,편의점,행운동,서울특별시 관악구 봉천로53길 14,2022-06-20
씨유관악이글점,편의점,행운동,서울특별시 관악구 남부순환로 1873,2022-06-20
이마트24 관악햇살점,편의점,미성동,서울특별시 관악구 법원단지5길 5,2022-06-20
GS25서원쑥고개점,편의점,서원동,서울특별시 관악구 쑥고개로 1,2022-06-20
씨유관악한샘점,편의점,성현동,서울특별시 관악구 은천로39길 13,2022-06-20
세븐일레븐 신림한양점,편의점,신사동,서울특별시 관악구 관천로 137,2022-06-20
이마트24 R관악청룡점,편의점,청룡동,서울특별시 관악구 청룡중앙길 12,2022-06-20
세븐일레븐 관악남현점,편의점,남현동,서울특별시 관악구 남부순환로262길 11,2022-06-20
GS25신림도림점,편의점,서림동,서울특별시 관악구 신림로 160,2022-06-20
GS25 관악두산점,편의점,은천동,서울특별시 관악구 봉천로33나길 20,2022-06-20
세븐일레븐 관악봉천로점,편의점,인헌동,서울특별시 관악구 남부순환로 1904,2022-06-20
이마트24 봉천태양점,편의점,중앙동,서울특별시 관악구 양녕로 6길 38,2022-06-20
GS25봉천역점,편의점,은천동,서울특별시 관악구 남부순환로 1733,2022-06-20
씨유관악은천길점,편의점,은천동,서울특별시 관악구 은천로 61,2022-06-20
씨유관악파인빌점,편의점,중앙동,서울특별시 관악구 중앙길 133,2022-06-20
세븐일레븐 관악힐스점,편의점,은천동,서울특별시 관악구 국회단지길 74,2022-06-20
GS25관악아미움점,편의점,청룡동,서울특별시 관악구 장군봉1길 16,2022-06-20
씨유신림이화점,편의점,서림동,서울특별시 관악구 서림길 127,2022-06-20
미니스톱신대방역점,편의점,신사동,서울특별시 관악구 난곡로 348,2022-06-20
세븐일레븐 서울특별시대제일점,편의점,낙성대동,서울특별시 관악구 남부순환로 1830,2022-06-20
GS25 관악스마일점,편의점,난곡동,서울특별시 관악구 난곡로34나길 17,2022-06-20
GS25삼성산주공점,편의점,삼성동,서울특별시 관악구 호암로 399,2022-06-20
이마트24 관악난곡점,편의점,난곡동,서울특별시 관악구 난곡로 24나길 2,2022-06-20
GS25관악보라매점,편의점,보라매동,서울특별시 관악구 봉천동 702-115,2022-06-20
씨유관악청림점,편의점,청림동,서울특별시 관악구 관악로 306,2022-06-20
미니스톱신림미림점,편의점,삼성동,서울특별시 관악구 호암로18가길 1,2022-06-20
씨유 관악성진점,편의점,조원동,서울특별시 관악구 조원중앙로1길 54,2022-06-20
씨유관악두산점,편의점,은천동,서울특별시 관악구 은천로 86,2022-06-20
GS25관악영락점,편의점,청룡동,서울특별시 관악구 청룡8길 28,2022-06-20
GS25서울특별시대제일점,편의점,낙성대동,서울특별시 관악구 관악로 104,2022-06-20
씨유신림동희점,편의점,서림동,서울특별시 관악구 신림로22길 24,2022-06-20
이마트 24 R관악신림현대점,편의점,서림동,서울특별시 관악구 신림로 169,2022-06-20
씨스페이스 신림동부점,편의점,미성동,서울특별시 관악구 미성3길 17,2022-06-20
씨유 남부순환로점,편의점,서원동,서울특별시 관악구 남부순환로1680,2022-06-20
씨유관악쑥고개점,편의점,청룡동,서울특별시 관악구 쑥고개로 74,2022-06-20
GS25봉천우성점,편의점,행운동,서울특별시 관악구 관악로28길 20,2022-06-20
이마트24 관악은천점,편의점,성현동,서울특별시 관악구 은천로 25길 7,2022-06-20
세븐일레븐 관악웰피아점,편의점,신림동,서울특별시 관악구 봉천로4길 48,2022-06-20
세븐일레븐 낙성대점,편의점,행운동,서울특별시 관악구 남부순환로 1951,2022-06-20
씨유관악에스식스점,편의점,삼성동,서울특별시 관악구 양지5길 2,2022-06-20
세븐일레븐 관악미림점,편의점,대학동,서울특별시 관악구 호암로20길 67,2022-06-20
세븐일레븐 봉일시장점,편의점,보라매동,서울특별시 관악구 봉천로23나길 45,2022-06-20
세븐일레븐 관악점,편의점,행운동,서울특별시 관악구 관악로 192,2022-06-20
씨유관악고시촌점,편의점,대학동,서울특별시 관악구 대학14길 15,2022-06-20
이마트24 까치고개점,편의점,인헌동,서울특별시 관악구 남부순환로 1964,2022-06-20
씨유신림우리점,편의점,신림동,서울특별시 관악구 신림로68길 35,2022-06-20
세븐일레븐 관악공원점,편의점,낙성대동,서울특별시 관악구 관악로12길 77,2022-06-20
세븐일레븐 관악서원점,편의점,서원동,서울특별시 관악구 신림로46길 24,2022-06-20
GS25 관악보라매점,편의점,보라매동,서울특별시 관악구 보라매로3길 17,2022-06-20
세븐일레븐 신림대학스타점,편의점,대학동,서울특별시 관악구 호암로24길 6,2022-06-20
GS25 봉천까치점,편의점,행운동,서울특별시 관악구 남부순환로233길 31-1,2022-06-20
씨유봉천승리점,편의점,행운동,서울특별시 관악구 행운7길 16,2022-06-20
씨유관악허브점,편의점,보라매동,서울특별시 관악구 봉천로13나길 30,2022-06-20
씨유 서울특별시대서연점,편의점,낙성대동,서울특별시 관악구 관악로 132,2022-06-20
씨유 낙성인헌점,편의점,인헌동,서울특별시 관악구 인헌길 14,2022-06-20
GS25신림고시촌점,편의점,대학동,서울특별시 관악구 신림로19길 46-8,2022-06-20
씨유낙성대입구점,편의점,인헌동,서울특별시 관악구 낙성대로 9,2022-06-20
씨유관악서원점,편의점,서원동,서울특별시 관악구 신림로 274,2022-06-20
씨유봉천역점,편의점,청룡동,서울특별시 관악구 남부순환로 1742,2022-06-20
GS25관악녹두점,편의점,대학동,서울특별시 관악구 호암로26길 9,2022-06-20
세븐일레븐 관악청솔점,편의점,신사동,서울특별시 관악구 조원로 118,2022-06-20
이마트24 신림동양점,편의점,신림동,서울특별시 관악구 남부순환로 181길 46,2022-06-20
씨유 신림샛별점,편의점,난곡동,서울특별시 관악구 법원단지17길 2,2022-06-20
이마트24 관악난우길점,편의점,미성동,서울특별시 관악구 난우10길 23,2022-06-20
씨유양지병원점,편의점,서원동,서울특별시 관악구 남부순환로 1640,2022-06-20
씨유 봉천역점,편의점,청룡동,서울특별시 관악구 남부순환로 1742,2022-06-20
세븐일레븐 봉천진용점,편의점,중앙동,서울특별시 관악구 봉천로 443,2022-06-20
세븐일레븐 관악삼성점,편의점,삼성동,서울특별시 관악구 호암로 401,2022-06-20
GS25 보라매삼성점,편의점,보라매동,서울특별시 관악구 보라매로 62,2022-06-20
씨유관악무지개점,편의점,낙성대동,서울특별시 관악구 관악로 12길 48,2022-06-20
세븐일레븐 서울대샤로수점,편의점,낙성대동,서울특별시 관악구 관악로 14길 34,2022-06-20
씨유난곡정복점,편의점,미성동,서울특별시 관악구 난곡로 235,2022-06-20
씨유관악신도점,편의점,조원동,서울특별시 관악구 조원로 58,2022-06-20
GS25신림누리점,편의점,신림동,서울특별시 관악구 신림동5가길 16,2022-06-20
